Date,Price
5/31/2018,270.940002
6/1/2018,273.600006
6/4/2018,274.899994
6/5/2018,275.100006
6/6/2018,277.399994
6/7/2018,277.369995
6/8/2018,278.190002
6/11/2018,278.559998
6/12/2018,278.920013
6/13/2018,278.029999
6/14/2018,278.730011
6/15/2018,277.130005
6/18/2018,276.559998
6/19/2018,275.5
6/20/2018,275.970001
6/21/2018,274.23999
6/22/2018,274.73999
6/25/2018,271
6/26/2018,271.600006
6/27/2018,269.350006
6/28/2018,270.890015
6/29/2018,271.279999
7/2/2018,271.859985
7/3/2018,270.899994
7/5/2018,273.109985
7/6/2018,275.420013
7/9/2018,277.899994
7/10/2018,278.899994
7/11/2018,276.859985
7/12/2018,279.369995
7/13/2018,279.589996
7/16/2018,279.339996
7/17/2018,280.470001
7/18/2018,281.059998
7/19/2018,280
7/20/2018,279.679993
7/23/2018,280.200012
7/24/2018,281.609985
7/25/2018,284.01001
7/26/2018,283.339996
7/27/2018,281.420013
7/30/2018,279.950012
7/31/2018,281.329987
8/1/2018,280.859985
8/2/2018,282.390015
8/3/2018,283.600006
8/6/2018,284.640015
8/7/2018,285.579987
8/8/2018,285.459991
8/9/2018,285.070007
8/10/2018,283.160004
8/13/2018,282.100006
8/14/2018,283.899994
8/15/2018,281.779999
8/16/2018,284.059998
8/17/2018,285.059998
8/20/2018,285.670013
8/21/2018,286.339996
8/22/2018,286.170013
8/23/2018,285.790009
8/24/2018,287.51001
8/27/2018,289.779999
8/28/2018,289.920013
8/29/2018,291.480011
8/30/2018,290.299988
8/31/2018,290.309998
9/4/2018,289.809998
9/5/2018,289.029999
9/6/2018,288.160004
9/7/2018,287.600006
9/10/2018,288.100006
9/11/2018,289.049988
9/12/2018,289.119995
9/13/2018,290.829987
9/14/2018,290.880005
9/17/2018,289.339996
9/18/2018,290.910004
9/19/2018,291.220001
9/20/2018,293.579987
9/21/2018,291.98999
9/24/2018,291.019989
9/25/2018,290.75
9/26/2018,289.880005
9/27/2018,290.690002
9/28/2018,290.720001
10/1/2018,291.730011
10/2/2018,291.559998
10/3/2018,291.720001
10/4/2018,289.440002
10/5/2018,287.820007
10/8/2018,287.820007
10/9/2018,287.399994
10/10/2018,278.299988
10/11/2018,272.170013
10/12/2018,275.950012
10/15/2018,274.399994
10/16/2018,280.399994
10/17/2018,280.450012
10/18/2018,276.399994
10/19/2018,276.25
10/22/2018,275.01001
10/23/2018,273.609985
10/24/2018,265.320007
10/25/2018,270.079987
10/26/2018,265.329987
10/29/2018,263.859985
10/30/2018,267.769989
10/31/2018,270.630005
11/1/2018,273.51001
11/2/2018,271.890015
11/5/2018,273.390015
11/6/2018,275.119995
11/7/2018,281.01001
11/8/2018,280.5
11/9/2018,277.76001
11/12/2018,272.570007
11/13/2018,272.059998
11/14/2018,270.200012
11/15/2018,273.019989
11/16/2018,273.730011
11/19/2018,269.100006
11/20/2018,264.119995
11/21/2018,265.019989
11/23/2018,263.25
11/26/2018,267.5
11/27/2018,268.399994
11/28/2018,274.579987
11/29/2018,273.980011
11/30/2018,275.649994
12/3/2018,279.299988
12/4/2018,270.25
12/6/2018,269.839996
12/7/2018,263.570007
12/10/2018,264.070007
12/11/2018,264.130005
12/12/2018,265.459991
12/13/2018,265.369995
12/14/2018,260.470001
12/17/2018,255.360001
12/18/2018,255.080002
12/19/2018,251.259995
12/20/2018,247.169998
12/21/2018,240.699997
12/24/2018,234.339996
12/26/2018,246.179993
12/27/2018,248.070007
12/28/2018,247.75
12/31/2018,249.919998
1/2/2019,250.179993
1/3/2019,244.210007
1/4/2019,252.389999
1/7/2019,254.380005
1/8/2019,256.769989
1/9/2019,257.970001
1/10/2019,258.880005
1/11/2019,258.980011
1/14/2019,257.399994
1/15/2019,260.350006
1/16/2019,260.980011
1/17/2019,262.959991
1/18/2019,266.459991
1/22/2019,262.859985
1/23/2019,263.410004
1/24/2019,263.549988
1/25/2019,265.779999
1/28/2019,263.76001
1/29/2019,263.410004
1/30/2019,267.579987
1/31/2019,269.929993
2/1/2019,270.059998
2/4/2019,271.959991
2/5/2019,273.100006
2/6/2019,272.73999
2/7/2019,270.140015
2/8/2019,270.470001
2/11/2019,270.619995
2/12/2019,274.100006
2/13/2019,274.98999
2/14/2019,274.380005
2/15/2019,277.369995
2/19/2019,277.850006
2/20/2019,278.410004
2/21/2019,277.420013
2/22/2019,279.140015
2/25/2019,279.519989
2/26/2019,279.320007
2/27/2019,279.200012
2/28/2019,278.679993
3/1/2019,280.420013
3/4/2019,279.399994
3/5/2019,279.019989
3/6/2019,277.329987
3/7/2019,275.01001
3/8/2019,274.459991
3/11/2019,278.440002
3/12/2019,279.48999
3/13/2019,281.339996
3/14/2019,281.160004
3/15/2019,281.309998
3/18/2019,282.329987
3/19/2019,282.399994
3/20/2019,281.549988
3/21/2019,284.730011
3/22/2019,279.25
3/25/2019,279.040009
3/26/2019,281.119995
3/27/2019,279.649994
3/28/2019,280.709991
3/29/2019,282.480011
4/1/2019,285.829987
4/2/2019,285.970001
4/3/2019,286.420013
4/4/2019,287.179993
4/5/2019,288.570007
4/8/2019,288.790009
4/9/2019,287.309998
4/10/2019,288.290009
4/11/2019,288.209991
4/12/2019,290.160004
4/15/2019,289.970001
4/16/2019,290.160004
4/17/2019,289.450012
4/18/2019,290.019989
4/22/2019,290.269989
4/23/2019,292.880005
4/24/2019,292.230011
4/25/2019,292.049988
4/26/2019,293.410004
4/29/2019,293.869995
4/30/2019,294.019989
5/1/2019,291.809998
5/2/2019,291.179993
5/3/2019,294.029999
5/6/2019,292.820007
5/7/2019,287.929993
5/8/2019,287.529999
5/9/2019,286.660004
5/10/2019,288.100006
5/13/2019,280.859985
5/14/2019,283.399994
5/15/2019,285.059998
5/16/2019,287.700012
5/17/2019,285.839996
5/20/2019,283.950012
5/21/2019,286.51001
5/22/2019,285.630005
5/23/2019,282.140015
5/24/2019,282.779999
5/28/2019,280.149994
5/29/2019,278.269989
5/30/2019,279.029999
5/31/2019,275.269989
6/3/2019,274.570007
6/4/2019,280.529999
6/5/2019,282.959991
6/6/2019,284.799988
6/7/2019,287.649994
6/10/2019,288.970001
6/11/2019,288.899994
6/12/2019,288.390015
6/13/2019,289.579987
6/14/2019,289.26001
6/17/2019,289.369995
6/18/2019,292.399994
6/19/2019,293.059998
6/20/2019,295.859985
6/21/2019,294
6/24/2019,293.640015
6/25/2019,290.76001
6/26/2019,290.470001
6/27/2019,291.5
6/28/2019,293
7/1/2019,295.660004
7/2/2019,296.429993
7/3/2019,298.799988
7/5/2019,298.459991
7/8/2019,296.820007
7/9/2019,297.190002
7/10/2019,298.609985
7/11/2019,299.309998
7/12/2019,300.649994
7/15/2019,300.75
7/16/2019,299.779999
7/17/2019,297.73999
7/18/2019,298.829987
7/19/2019,297.170013
7/22/2019,297.899994
7/23/2019,300.029999
7/24/2019,301.440002
7/25/2019,300
7/26/2019,302.01001
7/29/2019,301.459991
7/30/2019,300.720001
7/31/2019,297.429993
8/1/2019,294.839996
8/2/2019,292.619995
8/5/2019,283.820007
8/6/2019,287.799988
8/7/2019,287.970001
8/8/2019,293.619995
8/9/2019,291.619995
8/12/2019,288.070007
8/13/2019,292.549988
8/14/2019,283.899994
8/15/2019,284.649994
8/16/2019,288.850006
8/19/2019,292.329987
8/20/2019,290.089996
8/21/2019,292.450012
8/22/2019,292.359985
8/23/2019,284.850006
8/26/2019,288
8/27/2019,286.869995
8/28/2019,288.890015
8/29/2019,292.579987
8/30/2019,292.450012
9/3/2019,290.73999
9/4/2019,294.040009
9/5/2019,297.820007
9/6/2019,298.049988
9/9/2019,298.200012
9/10/2019,298.130005
9/11/2019,300.25
9/12/2019,301.290009
9/13/2019,301.089996
9/16/2019,300.160004
9/17/2019,300.920013
9/18/2019,301.100006
9/19/2019,301.079987
9/20/2019,298.279999
9/23/2019,298.209991
9/24/2019,295.869995
9/25/2019,297.619995
9/26/2019,297
9/27/2019,295.399994
9/30/2019,296.769989
10/1/2019,293.23999
10/2/2019,288.059998
10/3/2019,290.420013
10/4/2019,294.350006
10/7/2019,293.079987
10/8/2019,288.529999
10/9/2019,291.269989
10/10/2019,293.23999
10/11/2019,296.279999
10/14/2019,295.950012
10/15/2019,298.880005
10/16/2019,298.399994
10/17/2019,299.279999
10/18/2019,297.970001
10/21/2019,299.98999
10/22/2019,299.01001
10/23/2019,299.880005
10/24/2019,300.369995
10/25/2019,301.600006
10/28/2019,303.299988
10/29/2019,303.209991
10/30/2019,304.140015
10/31/2019,303.329987
11/1/2019,306.140015
11/4/2019,307.369995
11/5/2019,307.029999
11/6/2019,307.100006
11/7/2019,308.179993
11/8/2019,308.940002
11/11/2019,308.350006
11/12/2019,309
11/13/2019,309.100006
11/14/2019,309.549988
11/15/2019,311.790009
11/18/2019,312.019989
11/19/2019,311.929993
11/20/2019,310.769989
11/21/2019,310.269989
11/22/2019,310.959991
11/25/2019,313.369995
11/26/2019,314.079987
11/27/2019,315.480011
11/29/2019,314.309998
12/2/2019,311.640015
12/3/2019,309.549988
12/4/2019,311.459991
12/5/2019,312.019989
12/6/2019,314.869995
12/9/2019,313.880005
12/10/2019,313.529999
12/11/2019,314.420013
12/12/2019,317.130005
12/13/2019,317.320007
12/16/2019,319.5
12/17/2019,319.570007
12/18/2019,319.589996
12/19/2019,320.899994
12/20/2019,320.730011
12/23/2019,321.220001
12/24/2019,321.230011
12/26/2019,322.940002
12/27/2019,322.859985
12/30/2019,321.079987
12/31/2019,321.859985
1/2/2020,324.869995
1/3/2020,322.410004
1/6/2020,323.640015
1/7/2020,322.730011
1/8/2020,324.450012
1/9/2020,326.649994
1/10/2020,325.709991
1/13/2020,327.950012
1/14/2020,327.450012
1/15/2020,328.190002
1/16/2020,330.920013
1/17/2020,331.950012
1/21/2020,331.299988
1/22/2020,331.339996
1/23/2020,331.720001
1/24/2020,328.769989
1/27/2020,323.5
1/28/2020,326.890015
1/29/2020,326.619995
1/30/2020,327.679993
1/31/2020,321.730011
2/3/2020,324.119995
2/4/2020,329.059998
2/5/2020,332.859985
2/6/2020,333.980011
2/7/2020,332.200012
2/10/2020,334.679993
2/11/2020,335.26001
2/12/2020,337.420013
2/13/2020,337.059998
2/14/2020,337.600006
2/18/2020,336.730011
2/19/2020,338.339996
2/20/2020,336.950012
2/21/2020,333.480011
2/24/2020,322.420013
2/25/2020,312.649994
2/26/2020,311.5
2/27/2020,297.51001
2/28/2020,296.26001
3/2/2020,309.089996
3/3/2020,300.23999
3/4/2020,312.859985
3/5/2020,302.459991
3/6/2020,297.459991
3/9/2020,274.230011
3/10/2020,288.420013
3/11/2020,274.359985
3/12/2020,248.110001
3/13/2020,269.320007
3/16/2020,239.850006
3/17/2020,252.800003
3/18/2020,240
3/19/2020,240.509995
3/20/2020,228.800003
3/23/2020,222.949997
3/24/2020,243.149994
3/25/2020,246.789993
3/26/2020,261.200012
3/27/2020,253.419998
3/30/2020,261.649994
3/31/2020,257.75
4/1/2020,246.149994
4/2/2020,251.830002
4/3/2020,248.190002
4/6/2020,264.859985
4/7/2020,265.130005
4/8/2020,274.029999
4/9/2020,278.200012
4/13/2020,275.660004
4/14/2020,283.790009
4/15/2020,277.76001
4/16/2020,279.100006
4/17/2020,286.640015
4/20/2020,281.589996
4/21/2020,273.040009
4/22/2020,279.100006
4/23/2020,279.079987
4/24/2020,282.970001
4/27/2020,287.049988
4/28/2020,285.730011
4/29/2020,293.209991
